nombre,posicion X,posicion Y,estado
sujeto29,335,-196,vacio temporalmente,14411550VI16061609NS16481705VV17441829QV
sujeto3,-376,270,mantenimiento,null
sujeto30,-417,348,vacio temporalmente,13581449JI15561610XO17591825DB19372051SX
sujeto31,396,15,vacio temporalmente,06320738AF08350940SO10061010UR11491238NF
sujeto32,13,-247,vacio temporalmente,04330500KJ05000502NE05240609SA06290759CB
sujeto33,470,185,vacio temporalmente,13331435SM15321625AR17261800HX18381945OJ
sujeto34,-296,-176,vacio temporalmente,04220503SG05290618XU07530812OQ09451028DR
sujeto35,-196,-389,vacio temporalmente,08480945VZ10011022ZZ11491201LH12061241QI
sujeto36,-209,-291,vacio temporalmente,12301329BT14091415YH15171625IB17581820IV
sujeto37,28,181,vacio temporalmente,15271659AL17441831QA19242005NW20042028QW
sujeto38,486,-328,vacio temporalmente,03290400BI04290505KM05540627CI07260829VV
sujeto39,270,112,vacio temporalmente,06160759ZY08280956PU10351108LW11171239UE
sujeto4,366,124,mantenimiento,null
sujeto40,152,35,vacio temporalmente,06040622CY07130809NF08120914TO10381136UK
sujeto41,-447,-6,vacio temporalmente,05080547NU06240729QV08070839ZX09411017UI
sujeto42,-470,-206,vacio temporalmente,08230909HW09040908TY09461017TS11531257HG
sujeto43,5,368,vacio temporalmente,03000312VK04110507PP05110607GW06200727DP
sujeto44,436,-260,vacio temporalmente,14581527OW16521739EG18551905ZN19162035FH
sujeto45,-431,488,vacio temporalmente,11581244CD13081338PN14281547LS16001605AA
sujeto46,319,-394,vacio temporalmente,06300752TW08000818PT09361037PP11181227SJ
sujeto47,161,374,vacio temporalmente,01140207KA02580308NJ03200444HI05230636HP
sujeto48,-354,308,ocupado,02050258CF03220431YY05140639ZH07250839CA
sujeto49,218,401,mantenimiento,null
sujeto5,335,390,vacio temporalmente,05480626QA07230805OG08410909MQ09060932RL
sujeto50,409,499,ocupado,02300320KM04460515ZZ06560722QC08590923TK
sujeto51,-108,22,mantenimiento,null
sujeto52,-422,292,vacio temporalmente,15351655YB17201853RL19392054JB21052120HK
sujeto53,-72,-186,vacio temporalmente,10041050KI11351234HI13021341KT14341500HR
sujeto54,318,-229,vacio temporalmente,03080355VS04040419VO05220611TQ07100851XJ
sujeto55,207,-295,mantenimiento,null
sujeto56,-364,220,vacio temporalmente,06030649JK07530859PB09321054FF11171237ZG
sujeto57,210,-415,mantenimiento,null
sujeto58,-367,271,vacio temporalmente,06580744RQ08330951KL10551100SI11571228BR
sujeto59,335,-103,vacio temporalmente,05170647RM07480855JZ09381012MB11471246NW
sujeto6,-303,-80,vacio temporalmente,12531338RJ14311550RI16441746NP18571907EQ
sujeto60,400,-304,vacio temporalmente,05310618WX07470806GO08120924GF10291107KP
sujeto61,486,94,vacio temporalmente,14101521TD16121709FX17091727BA18001840LQ
sujeto62,21,-369,ocupado,02320358KJ04540531UE06560722AU08590953QC
sujeto63,-178,18,vacio temporalmente,12121331RE14481529AP16101732JW18011851VS
sujeto64,389,-250,mantenimiento,null
sujeto65,-80,54,vacio temporalmente,06140740CE08330947PI10411128CV12211307DW
sujeto66,398,0,vacio temporalmente,12251339UL14401544MX16211735ZQ18561952MC
sujeto67,-305,425,vacio temporalmente,09271052PX11181252KY13041346TA14481526ZR
sujeto68,-156,480,vacio temporalmente,08410954YN10551150VJ12261311DD14011411DD
sujeto69,183,415,mantenimiento,null
sujeto7,312,421,vacio temporalmente,04520520IR06420709GE07180853IB09501007TV
sujeto70,-103,23,vacio temporalmente,06410744KX08340910IU10591132AW12401301RY
sujeto71,-466,-347,mantenimiento,null
sujeto72,-436,-111,vacio temporalmente,11141217AD13591458MI15411601SA16161714WB
sujeto73,369,-331,vacio temporalmente,04110554ZG06110756XA08510915IM10531140CN
sujeto74,-144,-405,mantenimiento,null
sujeto75,-467,-495,mantenimiento,null
sujeto76,-185,-93,vacio temporalmente,05280645PU07560802GU08560923FA10231110LO
sujeto77,318,10,vacio temporalmente,05180634OE07390859MH09351003GO10481115HH
sujeto78,158,243,vacio temporalmente,06050623ZZ07180815JC09421052BM11131210YA
sujeto79,-483,-263,vacio temporalmente,07020705FS07350848KW09000934EA10041042OB
sujeto8,104,32,mantenimiento,null
sujeto80,-274,89,vacio temporalmente,08060850SY09211007ZI10491112MA12261304VT
sujeto81,145,-277,mantenimiento,null
sujeto82,459,-267,vacio temporalmente,01450219DI03400421MP05460610PH07110820CM
sujeto83,-131,298,vacio temporalmente,05210621OG07010752HS08020810NH09020946WC
sujeto84,75,-328,vacio temporalmente,09481039NE11411209QI12521347WD14461516XL
sujeto85,330,402,vacio temporalmente,09000912FW10321137UG12391314AB14401550JJ
sujeto86,491,329,mantenimiento,null
sujeto87,19,-6,vacio temporalmente,10351102FJ11431226UH13041322HJ14461541PO
sujeto88,33,438,vacio temporalmente,03560423TH05220656ZN07520813DE09591021VQ
sujeto89,199,-176,mantenimiento,null
sujeto9,223,355,vacio temporalmente,08140907XB09080931ND10151128TF12151307SF
sujeto90,-244,491,vacio temporalmente,07450845MO09401029LR11341224TG13091350RV
sujeto91,198,435,vacio temporalmente,04570530WT06540716XF08350908CU09531034HM
sujeto92,-103,-59,vacio temporalmente,11041159SH12521323RH14321517UL16481717HQ
sujeto93,-160,283,vacio temporalmente,06570733GO08300955HB10411143EG12371348ZB
sujeto94,-340,-363,mantenimiento,null
sujeto95,472,214,vacio temporalmente,02510335XC04030413MR05300658FE07380820XP
sujeto96,-55,49,vacio temporalmente,03230430AJ05350637JH07430812BK09371014GW
sujeto97,-271,-282,vacio temporalmente,03250453ZB05480605SM06280742XB08200916AM
sujeto98,241,-275,vacio temporalmente,08180959JO10381138JZ12381331OQ14271549XD
sujeto99,-95,28,vacio temporalmente,14221543LH16211746ZO18241933LQ20452123FL
